,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0,9455.0
mean,0.021839956582482542,0.025854672753600982,0.038611470615548864,0.022507613723990773,0.006948950358771261,0.038236309561201894,0.018073585804648486,0.04536510752630132,0.0586588658585308,0.03775581329590306,0.061377930550054395,0.08201054612466857,0.07760209593629916,0.0701739942974292,0.263107540011452,0.055204197146284675,0.1329369262370857,0.08909474826832564,0.22501457040866715,0.25870139769516237,2.537544184996558,1.0404020818464028,0.14096484057125386,5.828663951935489,0.3167696714878536,0.07103810328033927,0.2189803636615989,0.230148900691608,0.2602998602950669,0.2596401258901586,0.07451868123916948
std,0.027524474929640653,0.02176139236481931,0.031373726512085164,0.017029437744838928,0.006216181386588341,0.05226771520400831,0.01705223401850493,0.03895243797379842,0.048645262144035646,0.03335384087672648,0.05615854203346654,0.09060151847849775,0.06794107688701247,0.05096238668237188,0.2508265193664973,0.04788610519348605,0.10456854417815212,0.08089808799552368,0.19355603366733107,3.2163494824313172,76.48635173808427,11.030191817018618,0.14614592196178725,182.1692398802644,0.4370327679594475,0.06193330326196966,0.1912377641916316,0.21953746916098912,0.2411832395380969,0.2610754860161912,0.06404709287016096
min,5.937948748002922e-06,1.1176632305400974e-06,4.553525443835324e-06,9.84517652529879e-07,1.538905201429573e-06,2.363458759140357e-06,1.6719362666869834e-06,4.628018356287264e-06,8.59261257041164e-06,4.966352209521069e-06,8.031512719632785e-06,4.750686828627043e-06,1.17023511658787e-05,1.77226417142357e-06,0.0001035344798335,1.738814289277958e-05,3.12925375807833e-05,3.3282568617355605e-06,6.049586803986137e-06,1.325160671574375e-05,9.215469580821268e-05,0.0001202435299038,5.076403599952988e-06,0.000273601284676,7.369496105784208e-05,1.1600940172699844e-05,1.7890388526346295e-05,1.0669108354491836e-05,1.878829150706807e-05,2.967041113452545e-05,8.422461722218092e-06
25%,0.0061337960750642,0.008491823047995551,0.0120930373842833,0.00870475857729445,0.0022327318849737,0.0103514088086777,0.00608980068270205,0.014486488652124398,0.020219633653603748,0.012436466019704301,0.0174105851077547,0.0232883682168538,0.02631519627643885,0.0291966970354233,0.08956533764711469,0.01853121667898685,0.04643970305912765,0.02730666318022565,0.07751529692128775,0.05827038814141365,0.1467080191591485,0.0909364626510698,0.0432367046614004,0.3060376404742028,0.07067434909095285,0.0226253430654852,0.0757426147116914,0.07413139327330046,0.08054487450420256,0.06482544273415915,0.025016087454345
50%,0.0135173839917086,0.0202609424735115,0.0316440940347741,0.0187740724153302,0.0054126652464525,0.0236297591857387,0.013302463216104,0.0331690416695555,0.0456168523536457,0.0282919308890161,0.0461133046859328,0.0577537578309052,0.0576458218970187,0.061560987246307,0.1933558508699697,0.0421548491636308,0.110769959659269,0.0643192446489346,0.178099956092593,0.1277437619968217,0.3737425919289839,0.2260045586766476,0.0992912909344477,0.686159423235819,0.1743888911086531,0.0545253063197425,0.1624923532783767,0.1721189916626307,0.1980332311802964,0.1806836608407475,0.0566475777364699
75%,0.02555255395423545,0.037597496590163995,0.059397047633659605,0.03294000016196495,0.00972598740059505,0.04460396934166185,0.0239236835810114,0.06959921714712941,0.08622610730941455,0.054250021478548446,0.08946751495169089,0.1095557440918348,0.11050019430132316,0.10197155083066706,0.3478730752369477,0.07763535941725566,0.19874657002497995,0.1285750462660027,0.3219527986993256,0.2256505550770174,0.8741157358152956,0.5075713675792166,0.18526906562394915,1.4319458289188591,0.35610511245892507,0.1031541527002794,0.31541585714421927,0.31371585450253936,0.3635147720620643,0.359772670421782,0.106591697713034
80%,0.02943102663369584,0.04258797966110534,0.06646051719562802,0.036547505046722745,0.011096112101857241,0.05199945967292727,0.027201146790188483,0.07939556439295002,0.09709011305610478,0.06200941559145644,0.10091286694873687,0.12494619006270888,0.12856222685433993,0.11169637520979915,0.3997886339405998,0.08878707875574135,0.2205499093106048,0.15000656870829437,0.36407291927812296,0.2516223704804685,1.1758159516757516,0.6600628418805906,0.21257784047668943,1.8316621130452866,0.42016404949591346,0.11701401887675837,0.36396127130614386,0.3649925739869602,0.4146814961065736,0.4169840230728132,0.12054391248584156
85%,0.035899502379954616,0.048463701941091016,0.07361106612659764,0.04142881398020179,0.01277908826448247,0.06404376853606228,0.032188619755031476,0.09041745087774283,0.11098687161632619,0.07156113770421542,0.11623455901993576,0.14629312479720766,0.1484584581822964,0.1241865129984882,0.47111574210732754,0.10372564337392857,0.24527437400605565,0.1776673096044146,0.41659801737146385,0.29450151512485345,1.6701631315720993,0.9590357390759211,0.245862273167028,2.368172992204919,0.5423054485512045,0.13506331737581856,0.4197391375988828,0.42759109053695654,0.47454741691699814,0.5068370845268311,0.14086258162060739
90%,0.04764082524151725,0.0576794865662788,0.08291529235891484,0.04690296916468842,0.015223237728140401,0.08387341657353709,0.040569114384364155,0.10295026546176726,0.1277199590604589,0.0831449612531266,0.13541329506427982,0.1757838193850999,0.1757889600348827,0.13866416737111711,0.5758333790085941,0.12260750237151599,0.27929734712614285,0.21074342090326456,0.48208555262732194,0.3616854037226977,2.4547420075460358,1.7326330236718634,0.30090091279654396,3.33681103837376,0.7675936009759053,0.15904832135882596,0.48214219840596567,0.5047573390871379,0.5583871746072454,0.6111017313633169,0.16552702765112035
