latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff
-23.19140351937899,-54.43808902233828,0.1268,0.096,0.097,0.0905,0.124,0.2674,0.3327,0.2996,0.0419,0.0013,0.2951,0.1667,0.3628
-23.19140351937899,-54.43799915091933,0.1268,0.0959,0.0973,0.087,0.1242,0.2722,0.3385,0.3072,0.042,0.0013,0.2934,0.1643,0.3668
-23.19140351937899,-54.43790927950039,0.1268,0.0954,0.0963,0.079,0.1249,0.2714,0.3368,0.3291,0.0421,0.0013,0.2927,0.1668,0.3599
-23.19140351937899,-54.43781940808145,0.1268,0.0961,0.0966,0.082,0.1266,0.2678,0.3314,0.3235,0.0421,0.0013,0.2936,0.1709,0.3509
-23.19140351937899,-54.43772953666251,0.1267,0.0981,0.0996,0.0939,0.1298,0.2606,0.3215,0.2941,0.0421,0.0014,0.2972,0.1744,0.3454
-23.19140351937899,-54.437639665243566,0.1266,0.0997,0.1012,0.0989,0.1331,0.2536,0.3116,0.2832,0.0419,0.0014,0.3016,0.1778,0.3416
-23.19140351937899,-54.43754979382463,0.1264,0.0994,0.1003,0.0952,0.1344,0.2555,0.3119,0.2904,0.0417,0.0014,0.3034,0.1804,0.3411
-23.19140351937899,-54.43745992240569,0.1262,0.0978,0.0996,0.0938,0.1347,0.2617,0.3172,0.2968,0.0415,0.0015,0.3038,0.1826,0.3428
-23.19140351937899,-54.43737005098675,0.1261,0.098,0.1008,0.0959,0.1366,0.2614,0.3164,0.2998,0.0414,0.0015,0.3037,0.185,0.3433
-23.19140351937899,-54.43728017956781,0.126,0.0987,0.1015,0.0983,0.1399,0.2565,0.3114,0.2895,0.0412,0.0015,0.303,0.1874,0.3432
-23.19140351937899,-54.437190308148864,0.126,0.0961,0.1004,0.0968,0.1431,0.2536,0.3075,0.2935,0.0412,0.0015,0.3038,0.1902,0.3414
-23.19140351937899,-54.43710043672993,0.1261,0.1001,0.1034,0.1038,0.1463,0.2525,0.3044,0.2964,0.0412,0.0015,0.3062,0.1934,0.338
-23.19140351937899,-54.437010565310985,0.1263,0.1013,0.106,0.1126,0.1484,0.2536,0.3046,0.2804,0.0413,0.0015,0.307,0.1956,0.3355
-23.19140351937899,-54.43692069389204,0.1265,0.1014,0.1061,0.1189,0.1481,0.258,0.3101,0.2726,0.0413,0.0015,0.3046,0.1963,0.3343
-23.19140351937899,-54.43683082247311,0.1267,0.1027,0.1066,0.1189,0.1494,0.2622,0.3148,0.2851,0.0414,0.0015,0.3037,0.1974,0.3354
-23.191485970187976,-54.438448508014034,0.1257,0.1044,0.1097,0.1175,0.1498,0.2536,0.3077,0.2937,0.0418,0.0014,0.3175,0.1967,0.3358
-23.191485970187976,-54.43835863659509,0.1259,0.0992,0.1025,0.0973,0.1419,0.2569,0.3134,0.2895,0.0418,0.0014,0.3162,0.19,0.345
-23.191485970187976,-54.43826876517616,0.126,0.0979,0.1009,0.0948,0.132,0.2582,0.3182,0.3011,0.042,0.0014,0.3061,0.1819,0.3469
-23.191485970187976,-54.43817889375721,0.126,0.0978,0.1003,0.0944,0.1254,0.2614,0.3246,0.2923,0.0421,0.0014,0.2984,0.1743,0.3522
-23.191485970187976,-54.43808902233828,0.126,0.0971,0.0993,0.0921,0.1239,0.268,0.3342,0.299,0.0423,0.0014,0.2953,0.1667,0.3649
-23.191485970187976,-54.43799915091933,0.1259,0.0953,0.0973,0.0843,0.1237,0.2724,0.34,0.3132,0.0425,0.0013,0.2939,0.1625,0.3716
-23.191485970187976,-54.43790927950039,0.1259,0.0959,0.0969,0.0825,0.1236,0.272,0.3383,0.319,0.0426,0.0013,0.2934,0.1647,0.3639
-23.191485970187976,-54.43781940808145,0.1258,0.0983,0.1002,0.0919,0.1242,0.2688,0.3328,0.3032,0.0427,0.0013,0.2941,0.1685,0.3532
-23.191485970187976,-54.43772953666251,0.1257,0.0996,0.1028,0.1002,0.126,0.2614,0.3232,0.2829,0.0426,0.0013,0.2969,0.1702,0.3472
-23.191485970187976,-54.437639665243566,0.1256,0.0995,0.1016,0.0979,0.1279,0.254,0.3136,0.2853,0.0425,0.0014,0.3,0.1712,0.3435
-23.191485970187976,-54.43754979382463,0.1254,0.099,0.1013,0.092,0.1272,0.256,0.3142,0.2966,0.0423,0.0014,0.2998,0.1715,0.3439
-23.191485970187976,-54.43745992240569,0.1253,0.0983,0.1,0.091,0.1253,0.2625,0.3196,0.2966,0.042,0.0014,0.2979,0.1713,0.3465
-23.191485970187976,-54.43737005098675,0.1252,0.0997,0.1011,0.0957,0.126,0.2613,0.3177,0.2921,0.0418,0.0015,0.2963,0.1722,0.3453
-23.191485970187976,-54.43728017956781,0.1251,0.1,0.1,0.0973,0.1288,0.2541,0.3101,0.2851,0.0417,0.0015,0.2949,0.1741,0.341
-23.191485970187976,-54.437190308148864,0.1252,0.0962,0.0998,0.0918,0.1318,0.25,0.3054,0.2898,0.0416,0.0015,0.2957,0.1765,0.3382
-23.191485970187976,-54.43710043672993,0.1253,0.0987,0.1001,0.0993,0.1351,0.249,0.3037,0.2858,0.0416,0.0015,0.2993,0.1796,0.3371
-23.191485970187976,-54.437010565310985,0.1254,0.0998,0.0996,0.1078,0.1371,0.2514,0.3064,0.2655,0.0417,0.0015,0.3009,0.1819,0.3374
-23.191485970187976,-54.43692069389204,0.1256,0.0958,0.0983,0.094,0.1366,0.2589,0.316,0.2942,0.0417,0.0015,0.2983,0.1825,0.3389
-23.191485970187976,-54.43683082247311,0.1259,0.0954,0.0984,0.0851,0.1378,0.2654,0.3236,0.317,0.0418,0.0014,0.2969,0.1834,0.3423
-23.191485970187976,-54.43674095105416,0.1261,0.0976,0.101,0.0936,0.144,0.267,0.3235,0.3094,0.0419,0.0014,0.3,0.1855,0.3494
-23.191485970187976,-54.436651079635226,0.1262,0.099,0.1052,0.1044,0.1506,0.2666,0.3211,0.3,0.0419,0.0014,0.3042,0.189,0.3551
-23.191485970187976,-54.43656120821628,0.1263,0.1004,0.1076,0.107,0.1536,0.2662,0.3201,0.3028,0.0419,0.0014,0.3078,0.1957,0.3539
-23.191485970187976,-54.43647133679734,0.1264,0.1025,0.1077,0.1114,0.1555,0.2648,0.3183,0.302,0.0418,0.0014,0.3111,0.2037,0.3488
-23.19156842099696,-54.438448508014034,0.1253,0.1078,0.1105,0.1259,0.1529,0.2495,0.3003,0.2898,0.042,0.0015,0.3239,0.2049,0.3306
-23.19156842099696,-54.43835863659509,0.1253,0.0997,0.1041,0.0973,0.1428,0.2527,0.3071,0.2888,0.0421,0.0014,0.3185,0.1952,0.3388
-23.19156842099696,-54.43826876517616,0.1253,0.0989,0.1006,0.1009,0.1324,0.2582,0.316,0.2933,0.0423,0.0014,0.3065,0.1842,0.3425
-23.19156842099696,-54.43817889375721,0.1252,0.0998,0.1008,0.0999,0.1258,0.2636,0.3249,0.2863,0.0426,0.0014,0.2984,0.1748,0.3499
-23.19156842099696,-54.43808902233828,0.1251,0.0978,0.0995,0.0894,0.1248,0.2689,0.3342,0.3096,0.0428,0.0014,0.2968,0.1671,0.3652
-23.19156842099696,-54.43799915091933,0.125,0.0958,0.0981,0.0818,0.1252,0.2718,0.3391,0.3201,0.043,0.0014,0.297,0.1635,0.3736
-23.19156842099696,-54.43790927950039,0.1249,0.0977,0.0994,0.0879,0.1255,0.2709,0.3357,0.3093,0.0432,0.0013,0.2979,0.167,0.3646
-23.19156842099696,-54.43781940808145,0.1248,0.0997,0.1015,0.0986,0.1263,0.2678,0.3292,0.2931,0.0432,0.0013,0.2994,0.172,0.3524
-23.19156842099696,-54.43772953666251,0.1247,0.0996,0.1013,0.0999,0.128,0.2619,0.3222,0.2869,0.0432,0.0013,0.3014,0.1733,0.3478
-23.19156842099696,-54.437639665243566,0.1245,0.0997,0.1001,0.0946,0.1296,0.2562,0.3161,0.2958,0.043,0.0014,0.3029,0.1731,0.3464
-23.19156842099696,-54.43754979382463,0.1244,0.0987,0.1011,0.0936,0.1283,0.2588,0.3183,0.3004,0.0428,0.0014,0.3011,0.1715,0.3486
-23.19156842099696,-54.43745992240569,0.1243,0.0987,0.101,0.0928,0.1256,0.2653,0.3246,0.2936,0.0426,0.0014,0.2972,0.169,0.3524
-23.19156842099696,-54.43737005098675,0.1242,0.0999,0.1,0.0964,0.1257,0.2632,0.3215,0.2885,0.0423,0.0014,0.2942,0.1692,0.3475
-23.19156842099696,-54.43728017956781,0.1241,0.0984,0.0986,0.0932,0.1281,0.2541,0.3109,0.287,0.0422,0.0014,0.2915,0.1716,0.335
-23.19156842099696,-54.437190308148864,0.1242,0.0979,0.0999,0.0947,0.13,0.2487,0.3055,0.2806,0.0421,0.0014,0.2917,0.1736,0.3291
-23.19156842099696,-54.43710043672993,0.1243,0.1007,0.1004,0.1085,0.1314,0.2473,0.3061,0.2636,0.0421,0.0014,0.2953,0.175,0.3309
-23.19156842099696,-54.437010565310985,0.1244,0.0997,0.0985,0.1047,0.1315,0.2505,0.3112,0.2649,0.0421,0.0014,0.2967,0.1749,0.3359
-23.19156842099696,-54.43692069389204,0.1246,0.0957,0.0978,0.0862,0.129,0.2612,0.3233,0.3084,0.0422,0.0014,0.2932,0.1723,0.3444
-23.19156842099696,-54.43683082247311,0.1249,0.0957,0.0992,0.0833,0.1278,0.2696,0.3327,0.3209,0.0422,0.0014,0.2904,0.1699,0.3526
-23.19156842099696,-54.43674095105416,0.1251,0.0968,0.0997,0.0909,0.1307,0.2693,0.3329,0.3057,0.0423,0.0014,0.2909,0.1684,0.359
-23.19156842099696,-54.436651079635226,0.1253,0.0961,0.0994,0.0924,0.1342,0.2661,0.3297,0.2996,0.0423,0.0014,0.2928,0.1689,0.3618
-23.19156842099696,-54.43656120821628,0.1254,0.0963,0.0996,0.0886,0.135,0.265,0.327,0.3052,0.0422,0.0014,0.295,0.1743,0.3567
-23.19156842099696,-54.43647133679734,0.1256,0.098,0.0991,0.0887,0.1355,0.2635,0.3228,0.3101,0.0422,0.0014,0.2979,0.1822,0.3472
-23.19156842099696,-54.4363814653784,0.1258,0.0998,0.1002,0.0991,0.1395,0.2584,0.3135,0.2938,0.0421,0.0014,0.3009,0.1885,0.3382
-23.19156842099696,-54.43629159395946,0.126,0.0991,0.1048,0.1087,0.1458,0.2513,0.3017,0.2849,0.0421,0.0014,0.3042,0.1942,0.3295
-23.19156842099696,-54.43620172254053,0.1261,0.102,0.1066,0.1233,0.1504,0.2509,0.3002,0.2779,0.042,0.0014,0.3092,0.1997,0.3274
-23.19156842099696,-54.43611185112158,0.1263,0.1046,0.1086,0.124,0.1538,0.2567,0.3084,0.2778,0.0419,0.0014,0.3158,0.205,0.3314
