,Unnamed: 0,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,4674.0,0.02341020314295753,0.01366886104086746,0.04507900494983052,0.0031788251146077674,0.01739825111066928,0.011251082211193912,0.04364863363231068,0.0208489692492491,0.017662291874531857,0.024679210277753487,0.02829784271709857,0.2848612203331281,0.04270824655083618,0.13207783078595883,0.09593194226635397,0.058819670959565,0.05583668689889921,0.20211452575893282,0.7838929369542108,0.05699491970885724,9.876176390154644,0.20249711796922798,0.46084796594199506,0.10851872033455445,0.14991446015216645,0.20040512710567474,0.3252180458508238,0.01029361633412782,1.3931851176705214,0.03086386498661763,0.06507179307686128
std,2698.9681670347036,0.02686580851773357,0.011458934769073852,0.041111436149842376,0.0070738713318191995,0.011969485573646074,0.00935031253562291,0.03511831184608463,0.016988144768155383,0.03020221232382057,0.02169679260657571,0.02898781577636749,0.2476808899592705,0.04064401847836683,0.09290314675840111,0.06871526672033529,0.04143038253999793,0.07295249184861873,0.17706364420016094,13.693547565558067,0.05897944126731305,484.1110424123664,0.1959627550494754,3.399334463964719,0.8386204342966749,0.22956479405640765,0.3390261368274972,1.424039941357085,0.06393620726093836,14.46039023533115,0.30101902155420307,0.14406683767772988
min,0.0,5.652127581928611e-06,5.550344648478722e-06,2.750888562105617e-06,8.99739638192971e-08,4.616206021292254e-07,3.341442625180098e-07,1.354185822118551e-05,3.217118058170445e-06,2.951554985918385e-06,7.483962044738968e-07,3.037290510110239e-06,4.319474650876455e-07,8.039178871497667e-06,1.1132412385405422e-06,3.89861924959635e-07,3.7778186520386137e-06,5.7607907298253605e-06,8.807755291141354e-06,2.0099756118132e-05,2.679589718897929e-05,3.033051556441585e-05,2.5993249203902505e-05,1.4215021710595156e-05,4.6131728116400895e-05,3.067947552417826e-05,2.125999260390053e-05,7.741480692399406e-06,5.284864570125812e-06,0.0001443288196453,2.2200447071424256e-06,1.407950358684648e-05
25%,2337.0,0.0053966830534097,0.005188841717107,0.0146658904059756,0.0005782094324557,0.0084318055721532,0.004643018642053,0.0161855707183731,0.0085108264006438,0.0039312126452529,0.0094732499586388,0.0077093289295229,0.1115877517233192,0.0139741001359583,0.0606846207152055,0.0403538294108288,0.0261425601628334,0.009922792590272,0.0717186189809225,0.1116982981354486,0.0252904083884381,0.3403172844908232,0.0675882513128782,0.1251481460510241,0.0380411056911043,0.0478035085359627,0.0697993310174837,0.0663250877268697,0.0020105627910982,0.1578582779552415,0.0096840478548367,0.0224534212846088
50%,4674.0,0.0140990407462825,0.0116740969530001,0.0337154978937798,0.0008623612131489,0.0157085581989236,0.0091318511854458,0.0346587778041307,0.0177928878152039,0.0093330626871665,0.019135822010012,0.0179492175120884,0.2049972013986666,0.0319814651880672,0.1165817218686532,0.0821278091030205,0.0537513943107012,0.0281664117525334,0.1498544313084874,0.2399405588882257,0.0507752449688302,0.5945381547176317,0.1534625657060409,0.2462851006284871,0.0721937164271879,0.0985015767207067,0.1338384377409273,0.1370867653352477,0.0057004150947727,0.3031108569379678,0.018233270031438,0.0404447757569682
75%,7011.0,0.0321501679938146,0.0195719938584939,0.0645742366424443,0.0019985931690751,0.0240682330358448,0.0154871859852711,0.0623251423060557,0.0290608094667475,0.0188071720823837,0.0336650207331095,0.0394738039701211,0.3847752568197241,0.0580974341001788,0.180990283096566,0.1400797638958085,0.084559383729227,0.0721791085446902,0.2833397290487028,0.4658251550068893,0.0769571060270817,1.3586552996573482,0.2712669112137345,0.3713786619362088,0.1178414877211365,0.1686408539750483,0.1849101866976061,0.231450783689957,0.0081338321461383,0.5142906740763282,0.0253496408517964,0.0697630140030537
80%,7478.400000000001,0.038012894800454,0.021368006057863983,0.07317877546385088,0.00240210303733456,0.026713372295421,0.017323732324919013,0.07138071015065708,0.03230846346005494,0.023017846587801503,0.037705024517237624,0.04731865995147552,0.4585211447535418,0.06611502561641897,0.20149217632551222,0.1566887175387015,0.09169140300716903,0.08946081514057638,0.3132094306808584,0.535418553248302,0.08408400967204781,2.074814515872129,0.306334646470059,0.43514099810900525,0.1310353671804112,0.19465850310547822,0.20079516499369113,0.27814899490781014,0.010757693896185881,0.594242192234798,0.02753195991554948,0.08045193715183745
85%,7945.8,0.044966190478743985,0.02398324938022274,0.08358773842316926,0.004177131284981422,0.029448343401187342,0.01973475783740736,0.0821942184960491,0.03631791032020698,0.029581895012485163,0.04319443581222687,0.056212751079356825,0.5583570154759608,0.07587898861595209,0.2266007392063099,0.17502457397090473,0.099328244055998,0.1119267345146661,0.36795974129888087,0.6343011557574243,0.0948406387254263,3.753179989656175,0.36627391320641,0.5179370912291248,0.16715831690070823,0.23322233316584184,0.21861642674549847,0.3983605156112561,0.01151183168979838,0.9013813932733254,0.02959193053357434,0.09090567588838801
90%,8413.2,0.05498729304742624,0.02726323598431008,0.09410686340807628,0.008534171527208562,0.033186515669652694,0.022367497795839682,0.09524840924552978,0.04127467808845443,0.04022776789876894,0.051509118993344157,0.0688375412948325,0.6970223211593968,0.09054736092000319,0.26428726102647276,0.1984004969701193,0.109501769620815,0.14222520854326995,0.45616796787414843,0.8636408283817264,0.10699254122381982,6.6670722203973245,0.45210622007688106,0.6886690114284011,0.22969365714158274,0.30219223776850634,0.3046129074249634,0.6569509124853264,0.04521739023452229,1.4652837634249232,0.06683132928822914,0.11368378912739209
