,Unnamed: 0,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
95%,8880.6,0.07601027737003922,0.03119902357683514,0.1204693135449208,0.016610787565395583,0.03988859347681357,0.027022444105460623,0.11689372670002601,0.048614991075374675,0.05833540276639698,0.0670796207300495,0.08938559053237141,0.8341809472068726,0.11809622665852972,0.31852557687729954,0.22832411439626846,0.1258235366060228,0.20645956134833562,0.5872769505666099,1.370852569259634,0.1180534112954566,13.30740937792274,0.5777232827321073,1.2033130520660074,0.298844584531265,0.44929433331478896,0.6493062484007772,1.0721317345353505,0.046862952365835236,3.019370047183422,0.07384261364099062,0.16156215983990793
99%,9254.52,0.13024589461977823,0.05047506994788065,0.20117732974248867,0.03445984256556365,0.054677219933187624,0.04469845062048776,0.1468696134773394,0.07894181374669497,0.14562297566272633,0.10166792802714218,0.13065144422342295,1.019970585907756,0.19230084171710843,0.40281751616481853,0.2712043083876901,0.18457191133345094,0.36367048084634457,0.7732925755449253,4.8558671485186915,0.18312490441741985,61.50933234754685,0.8786305778108084,3.041548862060095,0.43335360384684407,1.0094057997076546,1.9587457246879052,3.698842713590293,0.04800069162859991,17.38071476587546,0.09944839361824243,0.48270171479889196
max,9348.0,0.2435624146063605,0.1826694335833422,0.280802841178768,0.0810775060904707,0.0757059173789722,0.1211974110273041,0.1667199686135511,0.2385191541743119,0.5569490873644987,0.1945496603077879,0.1784822331311848,1.273999997293071,0.4309580762472498,0.5258248612973968,0.4223295076034956,0.4324591916142795,0.489157193299504,1.3724033925198902,1086.3572228285475,2.9416708216545517,46602.559707420434,3.3470344141554795,261.98329098402263,80.26524727500836,7.312412789406386,4.962812613403176,112.98167173800516,5.9452111084577215,878.8887545396129,19.615368337457728,6.201675608757698
range,9348.0,0.24355676247877855,0.18266388323869373,0.2808000902902059,0.08107741611650687,0.07570545575837007,0.12119707688304157,0.1667064267553299,0.23851593705625374,0.5569461358095128,0.1945489119115834,0.1784791958406747,1.2739995653456058,0.4309500370683783,0.5258237480561583,0.4223291177415706,0.43245541379562746,0.4891514325087742,1.372394584764599,1086.3572027287914,2.9416440257573626,46602.55967708992,3.347008420906276,261.9832767690009,80.26520114328025,7.312382109930861,4.962791353410572,112.98166399652447,5.9452058235931515,878.8886102107933,19.61536611741302,6.201661529254111
coef_of_variation,0.577442911218379,1.1476110802488098,0.8383240370074492,0.9119863270184481,2.2253100050431804,0.6879706182827723,0.8310589470513431,0.8045684119671613,0.8148194073799228,1.7099826307009824,0.8791526293746031,1.0243825321303384,0.8694791438077201,0.9516667566763184,0.7033969759009521,0.7162918324904557,0.7043627049270444,1.3065333188681176,0.8760560060455491,17.468645168259684,1.0348192710612312,49.01806359948843,0.967731081877691,7.376260101346696,7.727887241125548,1.531305211141036,1.6917039085967438,4.37872362719468,6.211248329604242,10.379374608529899,9.7531213827148,2.2139675405526553
iqr,4674.0,0.0267534849404049,0.0143831521413869,0.0499083462364687,0.0014203837366194001,0.0156364274636916,0.0108441673432181,0.0461395715876826,0.0205499830661037,0.014875959437130801,0.0241917707744707,0.031764475040598206,0.2731875050964049,0.044123333964220496,0.1203056623813605,0.09972593448497971,0.0584168235663936,0.062256315954418204,0.2116211100677803,0.35412685687144074,0.051666697638643594,1.018338015166525,0.20367865990085626,0.2462305158851847,0.0798003820300322,0.1208373454390856,0.11511085568012239,0.1651256959630873,0.0061232693550401,0.35643239612108674,0.0156655929969597,0.0473095927184449
skewness,0.0,2.4204289223203324,2.725490882588677,1.8218664317464874,4.656210602853765,0.9785140737236567,2.1397029670033625,1.0476305908211285,2.2564809036357167,6.462604902754009,1.9151613418755642,1.7192925355821385,1.3182169951207956,2.3215120620839302,0.9069909143503542,0.7353077082882699,1.2896237978712242,2.4717781448831797,1.4478174886318038,62.84158910425709,17.045597610041167,95.41473126009984,2.820114286048244,58.85817596407706,93.47544326842265,10.14632625415989,5.646062370995932,54.87346724303157,85.85937190853281,44.71424351928526,57.213497671122816,17.560026364726202
kurtosis,-1.2,8.184631569688097,18.676784010693236,4.89458048039624,28.184437199905588,1.1048183506287637,9.4051564500609,0.5312416409084113,12.440926646256628,66.33331884532755,5.696527734097202,3.119677028649383,1.0774543790992301,9.301797295299064,0.5883307707144318,-0.13645920670045575,4.261970958733615,7.176875752537576,2.09381441701963,4553.193921423858,671.5936743847549,9181.507520711686,19.344739026486977,4128.912699313319,8931.436620161268,208.98561028187916,40.85806874996783,4207.838512781212,7946.909298378344,2422.469184241707,3544.030984425653,511.422703872717
confidence_interval_low,4619.283348907289,0.02286554793399911,0.013436552063195295,0.04424554565408691,0.0030354152907108327,0.017155591647733864,0.011061521698821667,0.042936673987985424,0.020504565635547766,0.01704999717089847,0.024239347427429753,0.02771016768589659,0.27983994257084793,0.04188426329484623,0.13019438913270684,0.0945388657122092,0.05797974560817813,0.05435770834273109,0.19852488370266935,0.5062812653837088,0.055799219237512965,0.061709023943095076,0.1985243309515178,0.39193266709408814,0.09151722240542433,0.1452604531531306,0.19353199126558787,0.2963482364306826,0.008997426483644483,1.100027111275672,0.02476125400519708,0.06215110101849468
confidence_interval_high,4728.716651092711,0.023954858351915947,0.013901170018539624,0.04591246424557413,0.003322234938504702,0.017640910573604694,0.011440642723566158,0.04436059327663594,0.021193372862950432,0.018274586578165244,0.02511907312807722,0.028885517748300553,0.2898824980954083,0.04353222980682613,0.13396127243921083,0.09732501882049875,0.05965959631095187,0.057315665455067326,0.2057041678151963,1.0615046085247128,0.05819062018020152,19.690643756366192,0.20646990498693815,0.529763264789902,0.12552021826368456,0.1545684671512023,0.2072782629457616,0.35408785527096504,0.011589806184611156,1.6863431240653708,0.036966475968038176,0.06799248513522789
