,N,P,K,Ca,Mg,S,B,Cu,Fe,Mn,Zn,Mo,Ni,Al,Se,Si,Na,Va,DRIS_N,DRIS_P,DRIS_K,DRIS_Ca,DRIS_Mg,DRIS_S,DRIS_B,DRIS_Cu,DRIS_Fe,DRIS_Mn,DRIS_Zn,IMS,IBN
count,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0,9349.0
mean,0.018035325505069432,0.012005964314367021,0.041733186833032995,0.0001738904500029546,0.014346226591755393,0.01022023687956673,0.04117921201788446,0.01827569757991759,0.0059052173014741,0.022023403506853324,0.026419477552261136,0.24832408184574228,0.040464434111588884,0.13992195590383222,0.08853878851547602,0.06058513086436116,0.05115585234529215,0.16882173344189566,0.7698568298450095,0.05029885002953579,10.680600109185983,0.18987685269948312,0.4108994915713115,0.09886463726113848,0.1414715837553581,0.17255261794064883,0.30683274149031353,0.0016519069841801118,1.3555674557714148,0.011570056403258769,0.06364239976286756
std,0.0263866087987011,0.011060180531748382,0.04202898193388925,0.0016314172972305841,0.010490045778529564,0.008928056977353079,0.029308565894920195,0.0152281734454161,0.02770904742681413,0.020359533897565993,0.025971505375799946,0.20043166952673727,0.03806650476809169,0.09615654540691881,0.0653291263680182,0.039636311801084984,0.07190297041019483,0.14804712406326465,15.017385025821802,0.057928186147070196,433.88898899768026,0.17161967677934956,3.5398447799780297,0.7926570424278383,0.2181329682148354,0.2961244456375288,1.405918450214606,0.06296815460129979,14.536206097702367,0.30555623438204454,0.1441662108250988
min,6.574100656461467e-07,4.504594623409241e-07,1.1605928579106658e-05,2.525842275323882e-09,1.9910102228683524e-06,4.821831542759209e-07,2.358832530624222e-06,1.3335805094075676e-07,4.260065826520794e-08,1.571194587167793e-06,8.429644601544243e-07,6.504448863998261e-05,5.618601816853684e-06,2.975773668851981e-05,6.913584370782955e-07,1.1752121393437986e-05,1.5914117718754318e-06,4.225653878510264e-05,3.4622451494331845e-05,1.949230782072979e-06,0.0007754653115409,6.511247553543581e-06,8.42371420437567e-06,1.0121662557923304e-05,2.236254537230943e-07,7.808225692365314e-05,6.302541027076476e-05,8.12731687673963e-08,4.444824786548252e-06,6.048765349680415e-07,3.342649600218538e-05
25%,0.0016642233352406,0.003977821908488,0.0122647461802591,2.317126949434021e-05,0.006565010228198,0.0036917442416168,0.0177606986221901,0.007366896351127,0.0004387457327342,0.0079465278371131,0.0074475951572857,0.104358661581358,0.0137816743005828,0.0657730319332409,0.0352202918395024,0.0276939803416236,0.008077401369751,0.0695880620564713,0.1164940245667782,0.0209602686037682,0.3072955528346185,0.0756535155482409,0.0937182660273999,0.0282382196674932,0.049050333000126,0.0524699821916747,0.0595561417733134,0.0001132055161913,0.166883716206762,0.0004965164915097,0.0224438857338631
50%,0.0058072042030086,0.0098192747811659,0.029197104650714,4.984345233997391e-05,0.0128453591013879,0.0082969229171771,0.0372233460367898,0.0153780187798572,0.0010260869382326,0.0172952366867482,0.017510678214316,0.1932507632985186,0.0302890025017883,0.1249159906795268,0.0756241799185924,0.0569418591029934,0.0229068857243218,0.1376397069658446,0.2335395413728582,0.0429235125866708,0.5828911745906549,0.1512423306475177,0.1739375290293819,0.0638465734097958,0.0927141312791956,0.1120372701555826,0.1318812545686601,0.0002389570625552,0.3105206562952419,0.0010289052334861,0.0384689831195323
75%,0.0248568697080081,0.0170878021424346,0.0588199645579414,8.892514209503498e-05,0.0193696695837486,0.0142928185142993,0.0575308449853511,0.025689854429911,0.0017052644530625,0.0291905422285775,0.0372545932291673,0.3300151487767543,0.0545327410282522,0.1932864460766978,0.1309293518490013,0.0877303624836775,0.0629886558904584,0.2035488571028281,0.412436599405236,0.0697549902214279,1.5722291090349787,0.2328386708402424,0.3249785196256987,0.1061598165323078,0.1602298511097807,0.1698259638392279,0.2105201829988368,0.0004279273625625,0.4570733410792695,0.0018884301422813,0.066103155319271
80%,0.03223023201330054,0.019059119484290243,0.06775196131978321,0.00010100311921998,0.02112867506309342,0.016149359246296364,0.06352642287628935,0.028855115114269164,0.0019139059926487206,0.0328126268283642,0.04452714357917981,0.37022484707388587,0.062378859642742666,0.21315986933113168,0.1448235555233741,0.09419069033366001,0.0794619919466531,0.23080339742607794,0.47360083977272194,0.07641060557330075,2.4689327394140506,0.2734413437208118,0.38803763455723483,0.11994211363430925,0.1860684581521835,0.18266016090176565,0.2514889246867853,0.00049645352590256,0.5278984538911436,0.00218710075255284,0.07593165920619904
85%,0.041114522122654866,0.02140850860050344,0.07786329475363458,0.00011761171280760001,0.02358567331919698,0.01808422233474376,0.07211937948538162,0.03250889637206246,0.002347031566591181,0.03762570836209276,0.053267350038768146,0.43035427238448354,0.07342164585399816,0.23969186757983474,0.16117438240491314,0.1022260859018005,0.10154548765805399,0.27907031299806156,0.5618513592221109,0.08337513727024433,4.444108790544311,0.34104001924484456,0.4773568701057578,0.15703867361594226,0.22126590199399565,0.20288700897003317,0.3777081498248697,0.0005800158775784801,0.808428560038611,0.0025926110737630203,0.08941586846828477
90%,0.05193861982819548,0.024877792208066678,0.09042293814011419,0.00014585102659852003,0.02709491308324122,0.020586079066516064,0.08362352401339015,0.036737641099615324,0.0037670193057659025,0.04602224776151927,0.06531475296074127,0.5519611689993911,0.08795168964524744,0.28048150682013007,0.18254715032369306,0.11160593214577762,0.13505583154063566,0.349128480898609,0.712541739101723,0.09089717475106962,7.732154710923141,0.424770710172903,0.6314701592155004,0.20714690749509662,0.28235840534864687,0.25208349347810705,0.5894131036510265,0.0007136494967911801,1.416045949870162,0.003220018130389266,0.11217577717735383
95%,0.0715313169989847,0.030312697443017792,0.1150104790028133,0.0002152668588819602,0.03420252038474293,0.024817334893528765,0.09873835469370501,0.0419512144876227,0.01817594989147398,0.06179883528306459,0.08117283531750724,0.6888146419990021,0.11401213398532851,0.3315267806573637,0.2157381440719479,0.1270670772068841,0.20261586559425218,0.49271755448037,1.1730320533020202,0.10808234777479114,15.394301633763412,0.5284165166887121,0.9846547406104552,0.28714675996712075,0.41487029311904067,0.5554081334121755,0.9779851724896279,0.0010519970548918004,2.835428732077375,0.0052644397305785205,0.15954975577557892
99%,0.12033988595285539,0.04794880841444215,0.2175047666398622,0.0015195118308564451,0.05036706569838635,0.04298228914050705,0.12697641427372477,0.0633863203784025,0.1413607970244309,0.09948303075152794,0.11624065868200928,0.8616753051191618,0.1810290571705101,0.41231255662069194,0.2622909542441958,0.1623589066123946,0.36164002977096543,0.7405794741712942,4.701470031117954,0.18516032658086104,74.75220075946578,0.7872826374656151,3.0898071108910883,0.4582287298977528,0.9266934517813986,1.6956750447796343,3.599650662768939,0.00466616989309951,16.596361834298193,0.0943560803827859,0.48811444262038417
max,0.2285998057845925,0.1858490721078917,0.3167240092923786,0.0600074218439767,0.0785650652357613,0.1199604763263307,0.1431514644654256,0.2426395096164348,0.5559218409241797,0.1922932671130426,0.1360361572960046,1.1328097271845992,0.3802371283818719,0.5541177503000091,0.3567152150530045,0.2642770104422267,0.499053116823715,1.7520406138981617,1208.5332533017686,2.948815897630732,41308.996317601865,3.0038369513665346,280.18942795258835,75.82072611382277,7.22500002192757,4.40248550240109,112.7282077640896,5.9623651776165305,920.0972819453514,19.93602415052093,6.185734195031831
